,tweet_source,tweet_text,tweet_date,tweet_vader_score,tweet_pos_score,tweet_neu_score,tweet_neg_score
26,CNN,Runners across the US dedicate #MilesForMollie to show they're not afraid https://t.co/GnyxyePTrS https://t.co/V385mLlhAl,Mon Aug 27 02:45:04 +0000 2018,0.0,0.0,1.0,0.0
27,CNN,Trump went against the advice of senior aides to issue an official White House statement praising Sen. John McCain… https://t.co/dGVkIBPGPW,Mon Aug 27 02:44:04 +0000 2018,0.5423,0.156,0.844,0.0
28,CNN,Zimbabwe inaugurates a President for the second time in 9 months https://t.co/qrmKBwE0Yo https://t.co/8L43x9QWTx,Mon Aug 27 02:30:11 +0000 2018,0.0,0.0,1.0,0.0
29,CNN,"A gunman killed two people and wounded 9 others at a video game tournament in Jacksonville, Florida, sheriff says.… https://t.co/26HoM83OFL",Mon Aug 27 02:15:07 +0000 2018,-0.6705,0.0,0.78,0.22
30,CNN,Former Vatican official calls for Pope's resignation amid sex abuse scandal https://t.co/2OvSfAYpRA https://t.co/Vkbvqc5SE6,Mon Aug 27 02:00:08 +0000 2018,-0.8519,0.0,0.518,0.482
31,CNN,Interior Minister Matteo Salvini facing investigation as migrants in Italy finally allowed to disembark… https://t.co/0xczcJjuhs,Mon Aug 27 01:30:05 +0000 2018,0.0,0.0,1.0,0.0
32,CNN,Here's what you need to know to start your week smart https://t.co/eWFgnhD3Hw https://t.co/3kuLGLmwoH,Mon Aug 27 01:15:00 +0000 2018,0.4019,0.184,0.816,0.0
33,CNN,German racing driver Sebastian Vettel wins Belgian GP after avoiding huge opening corner crash… https://t.co/I34jHBgk85,Mon Aug 27 01:00:06 +0000 2018,0.5574,0.294,0.588,0.118
34,CNN,A man bolted toward Jay-Z and Beyoncé at their Atlanta show. He didn't get far. https://t.co/J41OthD9MW https://t.co/ilFs9Xgyn9,Mon Aug 27 00:45:03 +0000 2018,0.0,0.0,1.0,0.0
35,CNN,The government just made it easier for workers to own a piece of their employer https://t.co/s8c6Duy2jM https://t.co/Q7xOvjg4ji,Mon Aug 27 00:30:11 +0000 2018,0.4215,0.157,0.843,0.0
36,CNN,"ISIS leader in Afghanistan killed in airstrike, US says https://t.co/5AlZguDLaf https://t.co/DlswsD5vSJ",Mon Aug 27 00:15:07 +0000 2018,-0.6705,0.0,0.69,0.31
37,CNN,"They pledge. Get hazed. The cycle continues.

How Greek life perpetuates an ""environment of fear""… https://t.co/cZuCv4hUpt",Mon Aug 27 00:00:00 +0000 2018,0.0,0.0,1.0,0.0
38,CNN,How Arizona will fill John McCain's seat — and who might fill it https://t.co/CrJoUrv8J7 https://t.co/6Jy9MOf1uQ,Sun Aug 26 23:45:00 +0000 2018,0.0,0.0,1.0,0.0
39,CNN,"Former White House communications director Anthony Scaramucci says President Trump ""would have a nightmare on his h… https://t.co/8VwfyR19Ss",Sun Aug 26 23:30:01 +0000 2018,0.0,0.0,1.0,0.0
40,BBC News (World),North Korea grants humanitarian release to Japanese tourist https://t.co/PNkDSuhbAg,Mon Aug 27 02:39:28 +0000 2018,0.2263,0.192,0.808,0.0
41,BBC News (World),Pope keeps silent on abuse claim letter at end of Irish visit https://t.co/Ni1gxFxWZR,Mon Aug 27 02:24:00 +0000 2018,-0.6369,0.0,0.741,0.259
42,BBC News (World),Myanmar Reuters journalists Wa Lone and Kyaw Soe Oo await verdict https://t.co/rccFV47cQz,Mon Aug 27 01:27:15 +0000 2018,-0.0258,0.213,0.638,0.149
43,BBC News (World),Colombia anti-corruption referendum fails to meet quorum https://t.co/ClpuO5E6y7,Mon Aug 27 00:53:25 +0000 2018,-0.4215,0.0,0.714,0.286
44,BBC News (World),Sri Lanka mass grave: Dozens of skeletons found in Mannar https://t.co/dyAjh9g8Fu,Sun Aug 26 23:14:45 +0000 2018,-0.3818,0.0,0.794,0.206
45,BBC News (World),"Mass shooting in Jacksonville, Florida https://t.co/hlxQQ4IJoU",Sun Aug 26 18:42:55 +0000 2018,0.0,0.0,1.0,0.0
46,BBC News (World),When the Pope asked Ireland for forgiveness https://t.co/E1zMBHGzZp,Sun Aug 26 17:57:02 +0000 2018,0.2732,0.231,0.769,0.0
47,BBC News (World),"""He was always willing to speak truth to power"" - Tributes to John McCain

https://t.co/VoG3VTnCRu https://t.co/QehdNdHnic",Sun Aug 26 16:49:09 +0000 2018,0.3182,0.141,0.859,0.0
48,BBC News (World),RT @BBCNews: Neil Simon: Celebrated US playwright dies aged 91 https://t.co/S6Ew4Qk73Q,Sun Aug 26 16:45:16 +0000 2018,0.5719,0.27,0.73,0.0
49,BBC News (World),Papal visit: Vigils remember Church abuse victims https://t.co/5rKkCShAxz,Sun Aug 26 16:14:40 +0000 2018,-0.7579,0.0,0.48,0.52
50,BBC News (World),German town evacuated over WW2 bomb https://t.co/ALnTTHQFIC,Sun Aug 26 15:49:27 +0000 2018,-0.4939,0.0,0.652,0.348
51,BBC News (World),Can man's best friend help take down the ivory trade? 🐕🐘 https://t.co/83K8s0IkOA,Sun Aug 26 15:26:39 +0000 2018,0.8779,0.529,0.471,0.0
52,BBC News (World),"RT @BBCNews: Egypt hotel deaths: ""As soon as they went into the bedroom my daughter said she could smell something funny - that wasn't righ…",Sun Aug 26 15:26:35 +0000 2018,0.4404,0.112,0.888,0.0
53,BBC News (World),"RT @bbcworldservice: ""Entangled in a fishing net... it was as torturously sad as anything I've ever seen in my whole life."" The race to sav…",Sun Aug 26 15:20:21 +0000 2018,-0.743,0.0,0.777,0.223
54,BBC News (World),"RT @bbcf1: 🇩🇪 Sebastian Vettel wins! 

Lewis Hamilton finishes second, meaning his lead at the top is cut from 24 points to 17.

Live #Belg…",Sun Aug 26 14:44:33 +0000 2018,0.5707,0.194,0.736,0.07
55,BBC News (World),Afghanistan Islamic State leader 'killed in air strike' https://t.co/SSeOPBElfN,Sun Aug 26 14:35:06 +0000 2018,-0.7184,0.0,0.538,0.462
56,BBC News (World),"RT @BBCNewsNI: ""I was disappointed there isn't going to be a more open and transparent accountability process."" Marie Collins was one of th…",Sun Aug 26 14:07:01 +0000 2018,-0.4767,0.0,0.871,0.129
57,BBC News (World),Australia: Illegal boat runs aground in Queensland crocodile swamp https://t.co/gM9OCV2sPG,Sun Aug 26 13:46:00 +0000 2018,-0.5574,0.0,0.714,0.286
58,BBC News (World),"These endangered birds have no sense of direction, so conservationists came up with a novel way to get them home...… https://t.co/euDXjyNNHL",Sun Aug 26 12:37:00 +0000 2018,0.0258,0.102,0.8,0.098
59,BBC News (World),Iran MPs vote to remove economy minister amid financial crisis https://t.co/8awQ4Nx6rx,Sun Aug 26 12:04:12 +0000 2018,-0.6249,0.0,0.709,0.291
60,CBS News,"Almanac: Don LaFontaine, the voice of movie trailers https://t.co/NYQAFObS5e https://t.co/YhjuNHnHbe",Mon Aug 27 05:33:03 +0000 2018,0.0,0.0,1.0,0.0
61,CBS News,"Revisiting Hanoi, where John McCain was shot down and held as a POW https://t.co/1PGawfkryk https://t.co/B9EYaB6jEW",Mon Aug 27 05:18:03 +0000 2018,0.0,0.0,1.0,0.0
62,CBS News,A portrait of America https://t.co/r2u2pmdN51 https://t.co/hQP1CZpu8P,Mon Aug 27 05:03:04 +0000 2018,0.0,0.0,1.0,0.0
63,CBS News,Arizona Gov. Doug Ducey will name McCain's replacement after funeral https://t.co/u6TovODXIK https://t.co/NyNzB51pPd,Mon Aug 27 04:48:04 +0000 2018,-0.3612,0.0,0.815,0.185
64,CBS News,Ken Chenault on leadership and success at American Express https://t.co/6QO6G3OfMT https://t.co/5WjyhYCBPp,Mon Aug 27 04:44:24 +0000 2018,0.5719,0.27,0.73,0.0
65,CBS News,"WATCH: As news of the mass shooting in Jacksonville, Florida, broke Sunday, organizations, celebrities, sports team… https://t.co/OcZX4uqUi9",Mon Aug 27 04:32:28 +0000 2018,-0.4215,0.0,0.851,0.149
66,CBS News,Remembering 1968: Chicago's bloody Democratic Convention https://t.co/rpIt1j4PMO https://t.co/Z5TxZMfjhN,Mon Aug 27 04:18:04 +0000 2018,-0.4404,0.0,0.707,0.293
67,CBS News,Schumer proposes renaming Russell Senate Office Building after John McCain https://t.co/Yoa5LwiB9c https://t.co/slCIT5LQHX,Mon Aug 27 04:03:04 +0000 2018,0.0,0.0,1.0,0.0
68,CBS News,"It’s the hottest new form of money on the market, but it doesn’t come out of an ATM. It has to be mined. Stream the… https://t.co/psbQp3VKqd",Mon Aug 27 03:48:41 +0000 2018,0.0,0.0,1.0,0.0
69,CBS News,Reclaiming the American prairie https://t.co/TgHTymXyGz https://t.co/GOcxIHfe59,Mon Aug 27 03:48:04 +0000 2018,0.0,0.0,1.0,0.0
70,CBS News,Art Garfunkel on finding his voice again https://t.co/7tnV2slmds https://t.co/zWwm68kic8,Mon Aug 27 03:33:05 +0000 2018,0.0,0.0,1.0,0.0
71,CBS News,McCain requested Obama and George W. Bush deliver eulogies at funeral https://t.co/CszOJZk1uA https://t.co/fj4ODvGlu9,Mon Aug 27 03:18:03 +0000 2018,-0.3612,0.0,0.828,0.172
72,CBS News,"Tropical Storm Lane spares Hawaii from a direct hit, but still dumps at least 4 feet of rain https://t.co/CA6JLq5ljY https://t.co/L3XBvdRUiA",Mon Aug 27 02:44:23 +0000 2018,-0.5499,0.0,0.827,0.173
73,CBS News,"Eleven former staffers at a prominent New Hampshire prep school have been accused of fondling, forced kissing and o… https://t.co/biipDRJvOs",Mon Aug 27 02:24:04 +0000 2018,0.2023,0.229,0.573,0.198
74,CBS News,"Hawaii wins the 2018 Little League World Series championship, its first in a decade, defeating South Korea 3-0… https://t.co/3b2ThS4Ge2",Mon Aug 27 01:45:28 +0000 2018,0.6124,0.273,0.62,0.107
75,CBS News,CONGRATS (little) GRAD: A baby boy born at only 22 weeks was given a tiny cap and gown after “graduating” from the… https://t.co/yJxUjFAiyT,Mon Aug 27 01:25:04 +0000 2018,0.6289,0.171,0.829,0.0
76,CBS News,"Four-year-old Dylan Stich was wary about jumping off the diving board, until 95-year-old Daniel Biss, an Air Force… https://t.co/tzGgcGNFGJ",Mon Aug 27 01:05:00 +0000 2018,0.0772,0.067,0.933,0.0
77,CBS News,"Former Vatican official claims Pope Francis knew of abusive ex-cardinal, calls for his resignation… https://t.co/MLsvAByT6P",Mon Aug 27 00:44:39 +0000 2018,-0.6369,0.0,0.769,0.231
78,CBS News,"John McCain remembered: Obama, family and more pay tribute https://t.co/HuTdQPm1D4 https://t.co/FQD0YAAevt",Mon Aug 27 00:24:42 +0000 2018,-0.1761,0.0,0.855,0.145
79,CBS News,"There’s a new gold rush going down in cities across America, but it doesn’t look at all like you’d think. Stream th… https://t.co/xQ2CEYX8u4",Mon Aug 27 00:05:31 +0000 2018,0.5023,0.134,0.866,0.0
80,The New York Times,Russia is unveiling a floating nuclear power plant that is for now the only one of its kind https://t.co/L8AMNwvtAm,Mon Aug 27 05:45:06 +0000 2018,0.5267,0.167,0.833,0.0
81,The New York Times,Australia’s new prime minister speaks often and openly about his Christian faith — a rarity among Australian politi… https://t.co/44dv8jtQYJ,Mon Aug 27 05:30:10 +0000 2018,0.4215,0.149,0.851,0.0
82,The New York Times,A Japanese tourist in North Korea was detained after apparently filming footage of a military facility in the area https://t.co/eYYSl14wb5,Mon Aug 27 05:15:05 +0000 2018,-0.4019,0.0,0.863,0.137
83,The New York Times,"A.E. Hotchner, the man who was everybody’s best friend — Ernest Hemingway’s, anyway, and Paul Newman’s — wrote his… https://t.co/YVeTUUbOGc",Mon Aug 27 05:00:05 +0000 2018,0.8126,0.316,0.684,0.0
84,The New York Times,"Brands are reintroducing products for new generations. “What’s old is new again."" https://t.co/YpQWhHpJik",Mon Aug 27 04:45:02 +0000 2018,0.0,0.0,1.0,0.0
85,The New York Times,"""It’s like Jekyll and Hyde.” Duncan Hunter boasted a glittering political resume, but a corruption scandal could ho… https://t.co/AirjOvslGG",Mon Aug 27 04:30:09 +0000 2018,-0.4767,0.085,0.728,0.187
86,The New York Times,"“This is very unusual in Chicago,” a Fire Department spokesman said. “We’re going the wrong way fast, and it’s very… https://t.co/KR9pYG34cI",Mon Aug 27 04:15:04 +0000 2018,-0.6705,0.0,0.766,0.234
87,The New York Times,"""Crazy Rich Asians"" had a decrease of only 6 percent in ticket sales compared to its opening weekend. That kind of… https://t.co/YET4PzQUWM",Mon Aug 27 04:00:08 +0000 2018,0.6808,0.265,0.644,0.091
88,The New York Times,"In a memo, Defense Secretary Jim Mattis urged President Trump to build a national strategy for A.I. that matches th… https://t.co/hWyIum5Jc7",Mon Aug 27 03:45:04 +0000 2018,0.128,0.077,0.923,0.0
89,The New York Times,"In Brazil, ‘Queer Museum’ Is Censored, Debated, Then Celebrated https://t.co/yj3I4g1g6J",Mon Aug 27 03:31:24 +0000 2018,0.4767,0.278,0.602,0.12
90,The New York Times,"Alice Dunnigan, the first black woman to cover the White House, will be honored with a bronze statue at the Newseum https://t.co/8T15ZmrGEf",Mon Aug 27 03:17:40 +0000 2018,0.5859,0.16,0.84,0.0
91,The New York Times,"A nationwide prisoner strike is drawing attention to low inmate wages, decrepit facilities and harsh sentences. “Pe… https://t.co/FH55aC58sO",Mon Aug 27 03:00:05 +0000 2018,-0.8316,0.052,0.517,0.431
92,The New York Times,"President Trump didn't make even the most cursory public show of respect for John McCain, against whom he had conti… https://t.co/6VX8qrIxdI",Mon Aug 27 02:45:02 +0000 2018,0.4767,0.134,0.866,0.0
93,The New York Times,The Nuclear Power Plant of the Future May Be Floating Near Russia https://t.co/8TA8ck1eGH,Mon Aug 27 02:31:33 +0000 2018,0.0,0.0,1.0,0.0
94,The New York Times,"""Let the obvious sit too long and it becomes like an animal in a zoo: pointed at, but never exercised, and idly wan… https://t.co/vRsvmhT0DV",Mon Aug 27 02:29:57 +0000 2018,0.1901,0.074,0.926,0.0
95,The New York Times,"How does a movie or TV show prevent a steamy scene from becoming a #MeToo experience for the actors? Enter the ""int… https://t.co/8GSStJKvhM",Mon Aug 27 02:13:02 +0000 2018,0.0258,0.055,0.945,0.0
96,The New York Times,"""I prefer the early plays,"" our critic writes about Neil Simon's work. ""That’s in part because they literally don’t… https://t.co/dmKywcnDlY",Mon Aug 27 01:57:04 +0000 2018,-0.2732,0.0,0.9,0.1
97,The New York Times,North Korea to Expel a Japanese Tourist Accused of Crime https://t.co/ZfFyHRgNFq,Mon Aug 27 01:43:31 +0000 2018,-0.8225,0.0,0.449,0.551
98,The New York Times,"As a Nation Mourns McCain, Trump Is Conspicuously Absent https://t.co/oej85plXWD",Mon Aug 27 01:27:25 +0000 2018,-0.5267,0.0,0.702,0.298
99,The New York Times,Open floor plan offices can be a challenge. Here's how to make your work space a bit more bearable. https://t.co/sUG75mhvwC,Mon Aug 27 01:16:37 +0000 2018,0.0772,0.071,0.929,0.0
100,Fox News,"Sen. John McCain: ""What greater cause could we hope to serve than helping keep America the strong, aspiring, inspir… https://t.co/T2m8imd2JF",Mon Aug 27 05:45:00 +0000 2018,0.872,0.405,0.595,0.0
101,Fox News,Hawaii's team celebrates together after their 3-0 win over South Korea in the Little League World Series Championsh… https://t.co/ieZAae1oYm,Mon Aug 27 05:38:00 +0000 2018,0.8176,0.306,0.694,0.0
102,Fox News,".@RealCandaceO: ""Liberalism to me means bondage and conservatism means freedom. The freedom to choose, the freedom… https://t.co/WB71R9lEKw",Mon Aug 27 05:30:00 +0000 2018,0.8555,0.359,0.641,0.0
103,Fox News,.@FBI swarms family home of Jacksonville Landing gunman David Katz https://t.co/IfCWLIW952,Mon Aug 27 05:23:00 +0000 2018,0.0,0.0,1.0,0.0
104,Fox News,".@WillieNelson: ""I enjoy the audience, I enjoy the fans. You know, I like the attention— who wouldn't?"" #OBJECTified https://t.co/JRKfg8hYGB",Mon Aug 27 05:15:00 +0000 2018,0.836,0.389,0.611,0.0
105,Fox News,"A makeshift memorial filled with flowers, candles and pictures is set up outside of @SenJohnMcCain’s office in Phoe… https://t.co/aj1dpZLaOK",Mon Aug 27 05:07:00 +0000 2018,0.0,0.0,1.0,0.0
106,Fox News,".@KatiePavlich: ""Conservatism to me is limited government, liberty and sticking to the Constitution and realizing t… https://t.co/zUZIOU7WV9",Mon Aug 27 05:00:00 +0000 2018,0.3612,0.167,0.739,0.094
107,Fox News,MS-13 member in Virginia pleads guilty to murder for hacking man to death with machete https://t.co/ieV4aXxBtU,Mon Aug 27 04:53:00 +0000 2018,-0.9081,0.0,0.533,0.467
108,Fox News,".@RealCandaceO on @realDonaldTrump: ""I think that what he did in this country was the most necessary thing by killi… https://t.co/may38XX0JZ",Mon Aug 27 04:45:00 +0000 2018,0.0,0.0,1.0,0.0
109,Fox News,".@Johnny_Joey, a retired Marine Corps bomb technician who lost both of his legs in a 2010 IED explosion, reflected… https://t.co/A3dmbzV6ig",Mon Aug 27 04:38:00 +0000 2018,-0.6705,0.0,0.744,0.256
110,Fox News,".@LisaMarieBoothe on Kavanaugh hearing: ""The changes to the judiciary are going to be lasting legacy of President… https://t.co/OSOM6NXcpK",Mon Aug 27 04:30:00 +0000 2018,0.0,0.0,1.0,0.0
111,Fox News,"North Carolina mom in 'disbelief' after son, 10, punished for calling teacher 'ma'am' https://t.co/Z8oqZ63bGh",Mon Aug 27 04:23:00 +0000 2018,-0.4588,0.0,0.812,0.188
112,Fox News,"John McCain: ""I don't mind a good fight. For reasons known only to God, I've had quite a few tough ones in my life.… https://t.co/SsCVTbeEOF",Mon Aug 27 04:15:00 +0000 2018,0.0257,0.156,0.692,0.152
113,Fox News,A woman hugs her husband for the first time in nine months since he was deployed to Iraq at Jackson Barracks in New… https://t.co/GoqA9QcpVQ,Mon Aug 27 04:08:00 +0000 2018,0.4939,0.127,0.873,0.0
114,Fox News,".@KenPaxtonTX: ""We've had over 600,000 crimes committed by illegals since 2011. Over 1200 homicides. We've had huma… https://t.co/Tu1oIifiHM",Mon Aug 27 04:01:00 +0000 2018,0.2732,0.11,0.89,0.0
115,Fox News,McCain's former colleague Kyl says late senator was ‘conscience of the Senate’ https://t.co/7OsyMs3UhT,Mon Aug 27 03:53:00 +0000 2018,0.0,0.0,1.0,0.0
116,Fox News,Everett Alvarez: “[@SenJohnMcCain] always really felt this way that his service to country and what was right for t… https://t.co/60kv8CoU9M,Mon Aug 27 03:45:00 +0000 2018,0.0,0.0,1.0,0.0
117,Fox News,"Last night, former President @BarackObama, who ran against John McCain for the presidency in 2008, said that Americ… https://t.co/xPUoDcMhiX",Mon Aug 27 03:38:00 +0000 2018,0.0,0.0,1.0,0.0
118,Fox News,"China ride-hailing giant Didi Chuxing suspends carpooling service after woman raped, killed by driver https://t.co/ul7cD9nJA1",Mon Aug 27 03:31:00 +0000 2018,-0.8779,0.0,0.588,0.412
119,Fox News,".@KatiePavlich: ""America has always prevailed. It is the greatest country the world has ever known. I always have f… https://t.co/JqmvWYVKrI",Mon Aug 27 03:24:01 +0000 2018,0.6369,0.189,0.811,0.0
120,CNN,"President Trump is right. His trade war with China is causing a huge problem with North Korea, writes YJ Fischer fo… https://t.co/SFxd1fxwYM",Mon Aug 27 05:30:07 +0000 2018,-0.6486,0.086,0.669,0.245
121,CNN,5.9 magnitude earthquake rattles western Iran https://t.co/ICWgOpOo1f https://t.co/XM74a5pC5R,Mon Aug 27 05:00:13 +0000 2018,0.0,0.0,1.0,0.0
122,CNN,"Trump's presidency as TV series will be binge-worthy, writes Dean Obeidallah for @CNNOpinion https://t.co/uwJdrDAUlZ https://t.co/XONGCcu7Ea",Mon Aug 27 04:30:07 +0000 2018,0.0,0.0,1.0,0.0
123,CNN,"This ""hovering"" backpack claims it'll help your back, neck, knees and ankles take up to 86% less punishment… https://t.co/U1ChdNpczb",Mon Aug 27 04:00:19 +0000 2018,0.4019,0.13,0.87,0.0
124,CNN,Pope Francis speaks to thousands at Sunday Mass in Dublin amid sex abuse scandal https://t.co/TGxyNgqEjh https://t.co/GSh9sMFXLx,Mon Aug 27 03:30:08 +0000 2018,-0.7964,0.0,0.664,0.336
125,CNN,Afghan President Ashraf Ghani accepted the resignation of his national security adviser but refused the resignation… https://t.co/ESRtKU8onW,Mon Aug 27 03:00:14 +0000 2018,-0.2846,0.157,0.63,0.213
126,CNN,Runners across the US dedicate #MilesForMollie to show they're not afraid https://t.co/GnyxyePTrS https://t.co/V385mLlhAl,Mon Aug 27 02:45:04 +0000 2018,0.0,0.0,1.0,0.0
127,CNN,Trump went against the advice of senior aides to issue an official White House statement praising Sen. John McCain… https://t.co/dGVkIBPGPW,Mon Aug 27 02:44:04 +0000 2018,0.5423,0.156,0.844,0.0
128,CNN,Zimbabwe inaugurates a President for the second time in 9 months https://t.co/qrmKBwE0Yo https://t.co/8L43x9QWTx,Mon Aug 27 02:30:11 +0000 2018,0.0,0.0,1.0,0.0
129,CNN,"A gunman killed two people and wounded 9 others at a video game tournament in Jacksonville, Florida, sheriff says.… https://t.co/26HoM83OFL",Mon Aug 27 02:15:07 +0000 2018,-0.6705,0.0,0.78,0.22
130,CNN,Former Vatican official calls for Pope's resignation amid sex abuse scandal https://t.co/2OvSfAYpRA https://t.co/Vkbvqc5SE6,Mon Aug 27 02:00:08 +0000 2018,-0.8519,0.0,0.518,0.482
131,CNN,Interior Minister Matteo Salvini facing investigation as migrants in Italy finally allowed to disembark… https://t.co/0xczcJjuhs,Mon Aug 27 01:30:05 +0000 2018,0.0,0.0,1.0,0.0
132,CNN,Here's what you need to know to start your week smart https://t.co/eWFgnhD3Hw https://t.co/3kuLGLmwoH,Mon Aug 27 01:15:00 +0000 2018,0.4019,0.184,0.816,0.0
133,CNN,German racing driver Sebastian Vettel wins Belgian GP after avoiding huge opening corner crash… https://t.co/I34jHBgk85,Mon Aug 27 01:00:06 +0000 2018,0.5574,0.294,0.588,0.118
134,CNN,A man bolted toward Jay-Z and Beyoncé at their Atlanta show. He didn't get far. https://t.co/J41OthD9MW https://t.co/ilFs9Xgyn9,Mon Aug 27 00:45:03 +0000 2018,0.0,0.0,1.0,0.0
135,CNN,The government just made it easier for workers to own a piece of their employer https://t.co/s8c6Duy2jM https://t.co/Q7xOvjg4ji,Mon Aug 27 00:30:11 +0000 2018,0.4215,0.157,0.843,0.0
136,CNN,"ISIS leader in Afghanistan killed in airstrike, US says https://t.co/5AlZguDLaf https://t.co/DlswsD5vSJ",Mon Aug 27 00:15:07 +0000 2018,-0.6705,0.0,0.69,0.31
